Close,Open,High,Low,Volume,Change
0.13,0.13,0.13,0.13,469030000.0,-0.9988
0.12,0.12,0.12,0.12,175880000.0,-0.07690000000000001
0.11,0.11,0.11,0.11,105730000.0,-0.0833
0.12,0.12,0.12,0.12,86440000.0,0.0909
0.12,0.12,0.12,0.12,73450000.0,
0.13,0.13,0.13,0.13,48630000.0,0.0833
0.13,0.13,0.13,0.13,37360000.0,
0.14,0.14,0.14,0.14,46950000.0,0.07690000000000001
0.15,0.15,0.15,0.15,48000000.0,0.07139999999999999
0.16,0.16,0.16,0.16,55570000.0,0.0667
0.16,0.16,0.16,0.16,93160000.0,
0.16,0.16,0.16,0.16,68880000.0,
0.15,0.15,0.15,0.15,35750000.0,-0.0625
0.15,0.15,0.16,0.15,21660000.0,
0.15,0.15,0.15,0.15,35730000.0,
0.14,0.14,0.14,0.14,45160000.0,-0.0667
0.14,0.14,0.14,0.14,55690000.0,
0.14,0.14,0.14,0.14,39830000.0,
0.14,0.14,0.14,0.14,21500000.0,
0.14,0.14,0.14,0.14,23700000.0,
0.14,0.14,0.14,0.14,23050000.0,
0.14,0.14,0.14,0.14,14290000.0,
0.14,0.14,0.14,0.14,14070000.0,
0.14,0.14,0.14,0.14,13400000.0,
0.15,0.15,0.15,0.15,41570000.0,0.07139999999999999
0.14,0.14,0.14,0.14,30080000.0,-0.0667
0.15,0.15,0.15,0.15,15900000.0,0.07139999999999999
0.15,0.15,0.15,0.15,35550000.0,
0.15,0.15,0.15,0.15,11220000.0,
0.14,0.14,0.14,0.14,24640000.0,-0.0667
0.14,0.14,0.14,0.14,23700000.0,
0.14,0.14,0.14,0.14,28160000.0,
0.13,0.13,0.13,0.13,43900000.0,-0.07139999999999999
0.13,0.13,0.13,0.13,46190000.0,
0.12,0.12,0.12,0.12,23770000.0,-0.07690000000000001
0.12,0.12,0.12,0.12,19150000.0,
0.13,0.13,0.13,0.13,27870000.0,0.0833
0.13,0.13,0.13,0.13,7930000.0,
0.13,0.13,0.13,0.13,13870000.0,
0.12,0.12,0.12,0.12,16760000.000000002,-0.07690000000000001
0.12,0.12,0.12,0.12,18350000.0,
0.12,0.12,0.12,0.12,13840000.0,
0.12,0.12,0.12,0.12,14560000.0,
0.11,0.11,0.11,0.11,11160000.0,-0.0833
0.12,0.12,0.12,0.12,12280000.0,0.0909
0.12,0.12,0.12,0.12,19240000.0,
0.11,0.11,0.11,0.11,22310000.0,-0.0833
0.11,0.11,0.11,0.11,24370000.0,
0.11,0.11,0.11,0.11,14110000.0,
0.11,0.11,0.11,0.11,16980000.0,
0.11,0.11,0.11,0.11,19490000.0,
0.11,0.11,0.11,0.11,10840000.0,
0.12,0.12,0.12,0.12,14760000.0,0.0909
0.12,0.12,0.12,0.12,11760000.0,
0.12,0.12,0.12,0.12,16170000.000000002,
0.12,0.12,0.12,0.12,13710000.0,
0.12,0.12,0.12,0.12,5380000.0,
0.11,0.11,0.12,0.11,11600000.0,-0.0833
0.11,0.11,0.11,0.11,15320000.0,
0.1,0.1,0.1,0.1,28380000.0,-0.0909
0.1,0.1,0.1,0.1,29860000.0,
0.1,0.1,0.1,0.1,59250000.0,
0.1,0.1,0.1,0.1,231300000.0,
0.1,0.1,0.1,0.1,37230000.0,
0.11,0.11,0.11,0.11,43750000.0,0.1
0.11,0.11,0.12,0.11,36940000.0,
0.11,0.11,0.11,0.11,37810000.0,
0.11,0.11,0.12,0.11,14600000.0,
0.12,0.12,0.12,0.12,22020000.0,0.0909
0.12,0.12,0.12,0.12,28160000.0,
0.12,0.12,0.12,0.12,7060000.0,
0.11,0.11,0.11,0.11,12280000.0,-0.0833
0.11,0.11,0.11,0.11,12250000.0,
0.11,0.11,0.11,0.11,9900000.0,
0.11,0.11,0.11,0.11,15990000.0,
0.11,0.11,0.11,0.11,34070000.0,
0.12,0.12,0.12,0.12,31400000.0,0.0909
0.12,0.12,0.12,0.12,16489999.999999998,
0.12,0.12,0.12,0.12,22800000.0,
0.11,0.11,0.12,0.11,10680000.0,-0.0833
0.12,0.12,0.12,0.12,21950000.0,0.0909
0.12,0.12,0.12,0.12,12500000.0,
0.12,0.12,0.12,0.12,33470000.0,
0.12,0.12,0.12,0.12,16059999.999999998,
0.12,0.12,0.12,0.12,6650000.0,
0.12,0.12,0.12,0.12,34050000.0,
0.11,0.11,0.11,0.11,23880000.0,-0.0833
0.11,0.11,0.12,0.11,35350000.0,
0.12,0.12,0.12,0.12,28540000.0,0.0909
0.13,0.13,0.13,0.13,19000000.0,0.0833
0.13,0.13,0.13,0.13,58020000.0,
0.13,0.13,0.13,0.13,35060000.0,
0.13,0.13,0.13,0.13,38530000.0,
0.13,0.13,0.13,0.13,32190000.0,
0.12,0.12,0.12,0.12,13640000.0,-0.07690000000000001
0.13,0.13,0.13,0.13,12610000.0,0.0833
0.13,0.13,0.13,0.13,16550000.0,
0.13,0.13,0.13,0.13,14450000.0,
0.13,0.13,0.13,0.13,17540000.0,
0.12,0.12,0.12,0.12,18950000.0,-0.07690000000000001
0.12,0.12,0.12,0.12,9360000.0,
0.12,0.12,0.13,0.12,7910000.0,
0.12,0.12,0.12,0.12,11940000.0,
0.12,0.12,0.12,0.12,4260000.0,
0.12,0.12,0.12,0.12,4910000.0,
0.12,0.12,0.12,0.12,4930000.0,
0.12,0.12,0.12,0.12,4910000.0,
0.12,0.12,0.13,0.12,4170000.0,
0.12,0.12,0.12,0.12,25420000.0,
0.13,0.13,0.13,0.13,13280000.0,0.0833
0.13,0.13,0.13,0.13,32210000.0,
0.14,0.14,0.14,0.14,31430000.0,0.07690000000000001
0.14,0.14,0.14,0.14,85340000.0,
0.15,0.15,0.15,0.15,149500000.0,0.07139999999999999
0.15,0.15,0.15,0.15,73990000.0,
0.15,0.15,0.15,0.15,59380000.0,
0.15,0.15,0.15,0.15,51250000.0,
0.14,0.14,0.14,0.14,40430000.0,-0.0667
0.14,0.14,0.14,0.14,39450000.0,
0.14,0.14,0.14,0.14,56070000.0,
0.14,0.14,0.14,0.14,57680000.0,
0.14,0.14,0.14,0.14,93500000.0,
0.14,0.14,0.14,0.14,119590000.0,
0.14,0.14,0.14,0.14,25220000.0,
0.15,0.15,0.15,0.15,38980000.0,0.07139999999999999
0.15,0.15,0.15,0.15,25800000.0,
0.14,0.14,0.15,0.14,143760000.0,-0.0667
0.14,0.14,0.14,0.14,37250000.0,
0.14,0.14,0.14,0.14,27570000.0,
0.14,0.14,0.14,0.14,23050000.0,
0.14,0.14,0.14,0.14,27510000.0,
0.13,0.13,0.13,0.13,10840000.0,-0.07139999999999999
0.13,0.13,0.13,0.13,15030000.0,
