ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
464345,Female,Yes,57,Yes,Artist,2.0,High,3.0,Cat_6
462425,Male,No,35,Yes,Doctor,3.0,Low,1.0,Cat_6
465896,Male,No,32,No,Doctor,2.0,Low,2.0,Cat_6
462998,Male,Yes,45,No,Entertainment,10.0,Average,4.0,Cat_6
465785,Male,No,21,No,Healthcare,3.0,Low,7.0,Cat_4
465213,Male,Yes,38,Yes,Entertainment,2.0,Average,2.0,Cat_6
461863,Male,No,33,No,Doctor,2.0,Low,4.0,Cat_6
467440,Male,Yes,49,Yes,Entertainment,0.0,Low,1.0,Cat_6
460172,Male,Yes,47,Yes,Artist,1.0,Average,3.0,Cat_6
464736,Male,No,28,Yes,Engineer,0.0,Low,5.0,Cat_4
465544,Female,No,51,Yes,Artist,0.0,Low,1.0,Cat_3
462556,Male,Yes,57,Yes,Entertainment,0.0,Average,7.0,Cat_5
466258,Female,No,29,No,Healthcare,1.0,Low,3.0,Cat_6
467854,Male,No,28,Yes,Artist,9.0,Low,2.0,Cat_6
466672,Male,Yes,62,Yes,Artist,0.0,Low,3.0,Cat_6
467542,Male,No,30,Yes,Healthcare,9.0,Low,1.0,Cat_6
462695,Male,Yes,51,Yes,Artist,8.0,Low,5.0,Cat_6
464560,Male,No,39,Yes,Entertainment,9.0,Low,2.0,Cat_6
461370,Male,No,26,Yes,Doctor,1.0,Low,3.0,Cat_6
462432,Male,Yes,37,Yes,Executive,1.0,Average,2.0,Cat_6
460847,Male,No,27,Yes,Artist,1.0,Low,3.0,Cat_6
462829,Male,Yes,29,No,Executive,1.0,Average,3.0,Cat_6
465701,Male,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_4
462286,Male,Yes,59,No,Doctor,0.0,Average,2.0,Cat_6
461998,Male,Yes,52,Yes,Artist,0.0,Average,2.0,Cat_6
463002,Male,Yes,41,Yes,Artist,0.0,High,5.0,Cat_6
464701,Male,No,31,No,Doctor,0.0,Low,2.0,Cat_4
466583,Female,Yes,38,Yes,Doctor,0.0,Average,2.0,Cat_6
462709,Female,No,32,No,Doctor,0.0,Low,3.0,Cat_6
