ID,Age,Employment Type,GraduateOrNot,AnnualIncome,FamilyMembers,ChronicDiseases,FrequentFlyer,EverTravelledAbroad
1501,25,Private Sector/Self Employed,Yes,1750000,3,,No,Yes
1502,28,Private Sector/Self Employed,Yes,800000,4,,No,No
1503,28,Private Sector/Self Employed,Yes,750000,6,1.0,No,No
1504,29,Private Sector/Self Employed,Yes,500000,4,,No,No
1505,34,Private Sector/Self Employed,Yes,850000,2,,No,No
1506,27,Government Sector,Yes,500000,4,,No,No
1507,28,Private Sector/Self Employed,Yes,1150000,6,1.0,No,No
1508,27,Government Sector,Yes,750000,5,,No,No
1509,25,Private Sector/Self Employed,,1700000,5,,Yes,Yes
1510,28,Private Sector/Self Employed,Yes,1300000,4,1.0,No,No
1511,26,Private Sector/Self Employed,Yes,500000,3,,No,No
1512,26,Private Sector/Self Employed,Yes,1300000,5,,No,No
1513,28,Private Sector/Self Employed,Yes,500000,3,,No,No
1514,28,Private Sector/Self Employed,Yes,1450000,5,,Yes,Yes
1515,34,Private Sector/Self Employed,Yes,1000000,6,1.0,No,No
1516,32,Government Sector,Yes,350000,3,1.0,No,No
1517,34,Government Sector,Yes,1300000,2,,No,No
1518,26,Private Sector/Self Employed,Yes,1400000,4,1.0,No,Yes
1519,31,Private Sector/Self Employed,Yes,1250000,6,,No,No
1520,28,Government Sector,Yes,300000,6,,No,No
1521,28,Government Sector,Yes,600000,4,1.0,No,No
1522,29,Private Sector/Self Employed,Yes,1350000,5,,No,Yes
1523,31,Government Sector,,400000,3,,No,No
1524,27,Government Sector,Yes,750000,5,,No,No
1525,29,Private Sector/Self Employed,Yes,1200000,3,,No,No
1526,30,Private Sector/Self Employed,,800000,4,,No,No
1527,30,Private Sector/Self Employed,,550000,5,1.0,No,No
1528,31,Private Sector/Self Employed,Yes,1250000,5,,No,No
1529,28,Private Sector/Self Employed,Yes,750000,2,,No,No
1530,31,Private Sector/Self Employed,Yes,1250000,4,,No,No
1531,26,Private Sector/Self Employed,Yes,500000,5,,No,No
1532,27,Government Sector,Yes,750000,5,,No,No
1533,28,Government Sector,Yes,1200000,5,,No,No
1534,33,Government Sector,Yes,600000,8,,No,No
1535,33,Government Sector,Yes,1750000,6,,No,No
1536,33,Government Sector,Yes,650000,5,,Yes,No
1537,26,Private Sector/Self Employed,Yes,600000,7,1.0,No,No
1538,29,Private Sector/Self Employed,Yes,500000,4,,No,No
1539,31,Government Sector,Yes,400000,5,,No,No
1540,33,Private Sector/Self Employed,Yes,550000,7,1.0,Yes,No
1541,34,Government Sector,Yes,1100000,4,,No,No
1542,28,Private Sector/Self Employed,Yes,1100000,4,,No,No
1543,28,Private Sector/Self Employed,Yes,800000,3,,No,No
1544,32,Government Sector,Yes,350000,4,,No,No
1545,29,Private Sector/Self Employed,Yes,1200000,8,,No,No
1546,34,Private Sector/Self Employed,,1400000,3,,Yes,Yes
1547,30,Private Sector/Self Employed,,550000,2,1.0,No,No
1548,34,Private Sector/Self Employed,Yes,1500000,4,1.0,Yes,Yes
1549,27,Private Sector/Self Employed,,450000,3,,No,No
1550,28,Private Sector/Self Employed,Yes,700000,4,1.0,No,No
1551,28,Private Sector/Self Employed,Yes,1200000,7,,No,No
1552,28,Private Sector/Self Employed,Yes,1300000,6,,No,No
1553,28,Private Sector/Self Employed,Yes,750000,2,,No,No
1554,28,Private Sector/Self Employed,Yes,1450000,3,,Yes,Yes
