ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size
1,Female,Yes,52,Yes,Artist,9.0,Low,2.0
2,Male,Yes,53,Yes,Artist,6.0,Average,2.0
3,Female,,26,Yes,Engineer,,Low,6.0
4,Female,Yes,52,No,Engineer,9.0,Average,5.0
5,Female,,42,Yes,Artist,8.0,Low,1.0
6,Female,Yes,38,Yes,Engineer,3.0,Low,2.0
7,Male,,36,Yes,Doctor,1.0,Low,1.0
8,Female,Yes,42,Yes,Engineer,1.0,High,3.0
9,Male,Yes,46,No,Artist,,Low,2.0
10,Male,,30,Yes,Doctor,,Low,5.0
11,Male,,18,No,Healthcare,,Low,2.0
12,Male,Yes,45,Yes,Artist,3.0,Low,1.0
13,Female,,59,Yes,Artist,1.0,Low,1.0
14,Male,,25,No,Healthcare,,Low,4.0
15,Male,Yes,35,No,Executive,,High,5.0
16,Female,Yes,41,Yes,Artist,1.0,Average,3.0
17,Female,Yes,41,Yes,Artist,7.0,Average,2.0
18,Male,Yes,52,Yes,Executive,1.0,Average,4.0
19,Female,,35,Yes,Doctor,1.0,Low,4.0
20,Male,,25,No,Entertainment,,Low,3.0
21,Male,,26,No,Engineer,,Low,4.0
22,Female,Yes,35,Yes,Entertainment,1.0,Low,1.0
23,Male,,25,Yes,Healthcare,9.0,Low,4.0
24,Female,Yes,43,Yes,Marketing,6.0,Low,1.0
25,Male,Yes,58,Yes,Lawyer,,High,2.0
26,Male,,21,No,Healthcare,,Low,4.0
27,Male,Yes,35,No,Entertainment,1.0,Average,4.0
28,Female,,40,Yes,Doctor,1.0,Low,1.0
29,Male,,35,Yes,Artist,13.0,Low,1.0
30,Female,Yes,84,Yes,Lawyer,,Low,1.0
31,Male,Yes,48,Yes,Executive,1.0,High,3.0
32,Male,Yes,36,No,Entertainment,1.0,Low,2.0
33,Male,,26,No,Healthcare,,Low,4.0
34,Male,Yes,80,No,Lawyer,8.0,Low,1.0
35,Female,,43,Yes,Artist,8.0,Low,4.0
36,Female,,51,Yes,Artist,,Low,1.0
37,Female,,46,No,Engineer,1.0,Low,3.0
38,Female,Yes,57,Yes,Artist,,High,2.0
39,Male,Yes,49,Yes,Marketing,,Low,5.0
40,Male,Yes,41,Yes,Engineer,1.0,Average,2.0
41,Male,Yes,70,Yes,Lawyer,1.0,Low,2.0
42,Male,Yes,69,No,Lawyer,,Low,1.0
43,Female,,37,Yes,Marketing,1.0,Low,3.0
44,Male,Yes,70,No,Lawyer,,Low,1.0
45,Male,Yes,46,No,Artist,1.0,Low,4.0
46,Male,Yes,70,Yes,Lawyer,,High,2.0
47,Male,,35,Yes,Doctor,,Low,1.0
48,Male,,50,No,Doctor,9.0,Low,3.0
49,Male,Yes,28,Yes,Engineer,9.0,Average,2.0
50,Female,Yes,42,Yes,Artist,2.0,Average,2.0
51,Female,Yes,72,No,Lawyer,,High,7.0
52,Male,Yes,52,Yes,Entertainment,,Average,4.0
53,Female,,26,Yes,Engineer,1.0,Low,3.0
54,Female,Yes,55,Yes,Entertainment,1.0,Average,5.0
55,Male,Yes,37,Yes,Entertainment,8.0,Average,2.0
56,Male,,61,Yes,Artist,1.0,Low,1.0
57,Male,,30,Yes,Healthcare,9.0,Low,3.0
58,Male,Yes,36,Yes,Executive,,Low,2.0
59,Female,,43,Yes,Artist,1.0,Low,1.0
60,Female,,30,Yes,Healthcare,,Low,4.0
61,Male,Yes,63,No,Executive,,Average,3.0
62,Female,,48,Yes,Lawyer,4.0,Low,1.0
63,Female,Yes,26,No,Engineer,7.0,Low,2.0
64,Male,,19,No,Healthcare,7.0,Low,3.0
65,Male,,41,Yes,Doctor,1.0,Low,1.0
66,Female,Yes,45,Yes,Artist,1.0,Average,2.0
67,Female,Yes,40,Yes,Entertainment,1.0,Low,2.0
68,Female,,35,No,Artist,5.0,Low,1.0
69,Male,,19,No,Healthcare,1.0,Low,3.0
70,Female,Yes,56,Yes,Doctor,1.0,Average,2.0
71,Male,Yes,25,Yes,Doctor,,Average,2.0
72,Male,Yes,88,No,Executive,,High,3.0
73,Female,Yes,66,Yes,Artist,,Low,2.0
74,Male,Yes,68,Yes,Artist,1.0,High,2.0
75,Male,,25,No,Entertainment,2.0,Low,7.0
76,Male,Yes,70,Yes,Engineer,4.0,High,2.0
77,Female,Yes,36,Yes,Artist,1.0,Average,3.0
78,Female,,36,Yes,Engineer,4.0,Low,1.0
79,Male,Yes,56,Yes,Doctor,,Low,1.0
80,Female,,33,Yes,Homemaker,1.0,Low,1.0
81,Male,Yes,53,Yes,Entertainment,1.0,Low,3.0
82,Male,Yes,31,Yes,Entertainment,,Average,2.0
83,Female,,45,Yes,Homemaker,11.0,Low,1.0
84,Male,Yes,56,Yes,Entertainment,,Average,2.0
85,Female,Yes,50,Yes,Artist,1.0,High,3.0
86,Male,,53,Yes,Artist,,Low,1.0
87,Male,Yes,40,Yes,Healthcare,6.0,High,2.0
88,Male,Yes,30,Yes,Entertainment,,Low,2.0
89,Female,,38,Yes,Entertainment,,Low,2.0
90,Male,,30,No,Engineer,9.0,Low,3.0
91,Female,Yes,40,Yes,Engineer,,Average,4.0
92,Female,,30,Yes,Healthcare,2.0,Low,5.0
93,Male,Yes,61,No,Artist,1.0,Average,2.0
94,Male,,38,Yes,Entertainment,1.0,Low,2.0
95,Female,Yes,49,Yes,Homemaker,8.0,Average,2.0
96,Male,Yes,48,Yes,Artist,1.0,Average,3.0
97,Female,Yes,39,Yes,Artist,8.0,Average,3.0
98,Female,Yes,35,Yes,Entertainment,9.0,Average,2.0
99,Female,Yes,46,No,Artist,1.0,High,2.0
100,Female,Yes,82,No,Lawyer,,High,2.0
101,Female,Yes,40,Yes,Doctor,,Low,1.0
102,Female,Yes,50,Yes,Artist,4.0,Low,2.0
103,Female,,42,Yes,Homemaker,10.0,Low,1.0
104,Male,,28,No,Artist,,Low,2.0
105,Male,,30,No,Doctor,,Low,5.0
106,Male,,38,Yes,Artist,,Low,1.0
107,Female,Yes,48,Yes,Artist,1.0,High,4.0
108,Female,,32,No,Doctor,,Low,3.0
109,Female,,27,Yes,Entertainment,8.0,Low,3.0
110,Female,Yes,78,No,Lawyer,,High,3.0
111,Male,Yes,27,No,Entertainment,,Average,4.0
112,Female,Yes,63,Yes,Artist,1.0,Low,1.0
113,Male,Yes,51,Yes,Entertainment,1.0,Average,2.0
114,Male,Yes,75,Yes,Lawyer,2.0,Low,1.0
115,Male,Yes,89,Yes,Lawyer,,High,2.0
116,Male,Yes,21,No,Doctor,1.0,Low,3.0
117,Male,Yes,41,Yes,Artist,11.0,High,2.0
118,Female,Yes,68,Yes,Artist,1.0,Average,2.0
119,Male,Yes,71,No,Entertainment,1.0,Low,2.0
120,Male,Yes,45,No,Engineer,1.0,Average,5.0
121,Male,Yes,63,Yes,Artist,1.0,Low,1.0
122,Female,,26,No,Executive,8.0,Low,3.0
123,Male,Yes,43,Yes,Entertainment,,Average,2.0
124,Female,Yes,47,Yes,Doctor,1.0,Average,4.0
125,Male,,18,No,Healthcare,9.0,Low,3.0
126,Female,Yes,31,No,Artist,1.0,Low,4.0
127,Male,,47,Yes,Artist,,Low,1.0
128,Male,,23,No,Healthcare,,Low,4.0
129,Male,Yes,43,Yes,Doctor,1.0,Low,4.0
130,Male,,28,Yes,Healthcare,5.0,Low,4.0
131,Male,,31,No,Healthcare,1.0,Low,4.0
132,Female,Yes,33,Yes,Engineer,2.0,Average,2.0
